input_obj,log_dict,resource_dict,result_dict
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1676347011.1953032, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 2}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.06679368019104, 'delta_t': 15.234047412872314, 'download_pickle_t': 6.127357482910156e-05, 'download_t': 0.0017838478088378906, 'finish_t': 1676347027.5837855, 'init_t': 0.4377939701080322, 'mapping_delay': 13.318410873413086, 'response_t': 16.388482332229614, 'upload_pickle_t': 2.6226043701171875e-05, 'upload_t': 0.0009913444519042969}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1676347011.1953032, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 2}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.0504343509674072, 'delta_t': 12.127010822296143, 'download_pickle_t': 3.0994415283203125e-05, 'download_t': 0.0015060901641845703, 'finish_t': 1676347024.460061, 'init_t': 0.4377939701080322, 'mapping_delay': 10.211374282836914, 'response_t': 13.264757871627808, 'upload_pickle_t': 3.981590270996094e-05, 'upload_t': 0.0010747909545898438}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1676347012.1953237, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 3}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.0745837688446045, 'delta_t': 21.091726541519165, 'download_pickle_t': 7.462501525878906e-05, 'download_t': 0.002480745315551758, 'finish_t': 1676347033.4501843, 'init_t': 0.4377939701080322, 'mapping_delay': 18.176069498062134, 'response_t': 21.254860639572144, 'upload_pickle_t': 6.818771362304688e-05, 'upload_t': 0.0011153221130371094}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1676347012.1953237, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 3}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.032829523086548, 'delta_t': 21.408731698989868, 'download_pickle_t': 5.14984130859375e-05, 'download_t': 0.0018851757049560547, 'finish_t': 1676347033.7246654, 'init_t': 0.4377939701080322, 'mapping_delay': 18.493074655532837, 'response_t': 21.52934169769287, 'upload_pickle_t': 3.62396240234375e-05, 'upload_t': 0.001062154769897461}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1676347012.1953237, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 3}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.008979320526123, 'delta_t': 18.346133947372437, 'download_pickle_t': 5.245208740234375e-05, 'download_t': 0.002242565155029297, 'finish_t': 1676347030.638653, 'init_t': 0.4377939701080322, 'mapping_delay': 15.430476903915405, 'response_t': 18.443329334259033, 'upload_pickle_t': 3.457069396972656e-05, 'upload_t': 0.0009510517120361328}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1676347012.1953237, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 3}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.018768787384033, 'delta_t': 18.013681650161743, 'download_pickle_t': 3.981590270996094e-05, 'download_t': 0.0041429996490478516, 'finish_t': 1676347030.3177223, 'init_t': 0.4377939701080322, 'mapping_delay': 15.098024606704712, 'response_t': 18.122398614883423, 'upload_pickle_t': 3.886222839355469e-05, 'upload_t': 0.0010333061218261719}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1676347013.1972613, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 4}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.097219467163086, 'delta_t': 27.30325961112976, 'download_pickle_t': 4.4345855712890625e-05, 'download_t': 0.0017864704132080078, 'finish_t': 1676347039.6832445, 'init_t': 0.4377939701080322, 'mapping_delay': 23.38566493988037, 'response_t': 26.48598313331604, 'upload_pickle_t': 3.24249267578125e-05, 'upload_t': 0.0009219646453857422}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1676347013.1972613, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 4}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.0386414527893066, 'delta_t': 24.21738028526306, 'download_pickle_t': 5.459785461425781e-05, 'download_t': 0.0023102760314941406, 'finish_t': 1676347036.5396216, 'init_t': 0.4377939701080322, 'mapping_delay': 20.299785614013672, 'response_t': 23.342360258102417, 'upload_pickle_t': 3.170967102050781e-05, 'upload_t': 0.001039743423461914}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1676347013.1972613, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 4}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.0060043334960938, 'delta_t': 24.503684997558594, 'download_pickle_t': 4.8160552978515625e-05, 'download_t': 0.0020415782928466797, 'finish_t': 1676347036.792961, 'init_t': 0.4377939701080322, 'mapping_delay': 20.586090326309204, 'response_t': 23.595699548721313, 'upload_pickle_t': 2.47955322265625e-05, 'upload_t': 0.0011141300201416016}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1676347013.1972613, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 4}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.9315710067749023, 'delta_t': 27.563127040863037, 'download_pickle_t': 5.650520324707031e-05, 'download_t': 0.002460956573486328, 'finish_t': 1676347039.7781658, 'init_t': 0.4377939701080322, 'mapping_delay': 23.645532369613647, 'response_t': 26.580904483795166, 'upload_pickle_t': 3.266334533691406e-05, 'upload_t': 0.0008087158203125}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
