input_obj,log_dict,resource_dict,result_dict
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1675261330.573331, 'n_request': 5, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 3}","{'COLD_START': False, 'compute_t': 10.757550477981567, 'delta_t': 0.7217240333557129, 'download_pickle_t': 4.3392181396484375e-05, 'download_t': 0.0050165653228759766, 'finish_t': 1675261346.7851894, 'init_t': 0.30655789375305176, 'mapping_delay': 5.447219371795654, 'upload_pickle_t': 9.34600830078125e-05, 'upload_t': 0.0016651153564453125}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-wx6v8', 'memory': 4096.0, 'nodename': 'k8s08', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1675261330.573331, 'n_request': 5, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 3}","{'COLD_START': False, 'compute_t': 6.032833099365234, 'delta_t': 1.111738681793213, 'download_pickle_t': 3.719329833984375e-05, 'download_t': 0.005920886993408203, 'finish_t': 1675261336.6090486, 'init_t': 0.33734560012817383, 'mapping_delay': -0.004925966262817383, 'upload_pickle_t': 9.131431579589844e-05, 'upload_t': 0.0014882087707519531}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-fw6qb', 'memory': 4096.0, 'nodename': 'k8s03', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 4, 'input_data_key': 'input_data_key', 'invoke_t': 1675261330.573331, 'n_request': 5, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 3}","{'COLD_START': True, 'compute_t': 8.070186138153076, 'delta_t': 0.4693443775177002, 'download_pickle_t': 4.00543212890625e-05, 'download_t': 0.00473475456237793, 'finish_t': 1675261343.8193078, 'init_t': 0.34836649894714355, 'mapping_delay': 5.169335842132568, 'upload_pickle_t': 7.653236389160156e-05, 'upload_t': 0.0013875961303710938}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-758vp', 'memory': 4096.0, 'nodename': 'k8s02', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1675261336.580804, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 9}","{'COLD_START': True, 'compute_t': 4.549659967422485, 'delta_t': 0.18391966819763184, 'download_pickle_t': 1.7404556274414062e-05, 'download_t': 0.0051844120025634766, 'finish_t': 1675261343.9187016, 'init_t': 0.33341217041015625, 'mapping_delay': 2.781015396118164, 'upload_pickle_t': 4.673004150390625e-05, 'upload_t': 0.0018024444580078125}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-qjsq5', 'memory': 4096.0, 'nodename': 'k8s07', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1675261336.580804, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 9}","{'COLD_START': True, 'compute_t': 8.302885293960571, 'delta_t': 0.0045011043548583984, 'download_pickle_t': 4.3392181396484375e-05, 'download_t': 0.005434751510620117, 'finish_t': 1675261347.7340095, 'init_t': 0.3886559009552002, 'mapping_delay': 2.8422365188598633, 'upload_pickle_t': 9.202957153320312e-05, 'upload_t': 0.002262115478515625}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-w76b6', 'memory': 4096.0, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1675261336.580804, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 9}","{'COLD_START': True, 'compute_t': 4.740751028060913, 'delta_t': 0.10361194610595703, 'download_pickle_t': 2.002716064453125e-05, 'download_t': 0.005454063415527344, 'finish_t': 1675261344.3295527, 'init_t': 0.3795435428619385, 'mapping_delay': 3.0015435218811035, 'upload_pickle_t': 1.9073486328125e-05, 'upload_t': 0.000827789306640625}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-8gf6q', 'memory': 4096.0, 'nodename': 'k8s04', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1675261336.580804, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 9}","{'COLD_START': True, 'compute_t': 8.391659498214722, 'delta_t': 0.004540920257568359, 'download_pickle_t': 2.6464462280273438e-05, 'download_t': 0.0052642822265625, 'finish_t': 1675261347.845369, 'init_t': 0.3609654903411865, 'mapping_delay': 2.8655312061309814, 'upload_pickle_t': 2.5510787963867188e-05, 'upload_t': 0.0018954277038574219}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-gj8pz', 'memory': 4096.0, 'nodename': 'k8s08', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1675261342.5864625, 'n_request': 1, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 15}","{'COLD_START': False, 'compute_t': 5.933242082595825, 'delta_t': 0.5720446109771729, 'download_pickle_t': 1.8596649169921875e-05, 'download_t': 0.005109548568725586, 'finish_t': 1675261348.527115, 'init_t': 0.6135735511779785, 'mapping_delay': 2.1219253540039062e-05, 'upload_pickle_t': 5.5789947509765625e-05, 'upload_t': 0.0019750595092773438}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-6zfkf', 'memory': 4096.0, 'nodename': 'k8s02', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1675261343.5870287, 'n_request': 1, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 16}","{'COLD_START': False, 'compute_t': 6.368415832519531, 'delta_t': 14.125757932662964, 'download_pickle_t': 1.811981201171875e-05, 'download_t': 0.0013277530670166016, 'finish_t': 1675261349.954523, 'init_t': 0.33734560012817383, 'mapping_delay': -0.004604339599609375, 'upload_pickle_t': 0.00010538101196289062, 'upload_t': 0.0018744468688964844}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-fw6qb', 'memory': 4096.0, 'nodename': 'k8s03', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1675261344.5886528, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 17}","{'COLD_START': False, 'compute_t': 6.317619800567627, 'delta_t': 9.315014362335205, 'download_pickle_t': 4.410743713378906e-05, 'download_t': 0.0011408329010009766, 'finish_t': 1675261350.9101777, 'init_t': 0.34836649894714355, 'mapping_delay': -0.0003159046173095703, 'upload_pickle_t': 3.6716461181640625e-05, 'upload_t': 0.0018322467803955078}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-758vp', 'memory': 4096.0, 'nodename': 'k8s02', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
